Time.Stamp, Delta.Time, PM_2.5, PM_10
2019-10-22 15:32:57, 704,   8.60,  12.30
2019-10-22 15:32:59, 706,   8.60,  12.60
2019-10-22 15:33:01, 708,   8.50,  12.90
2019-10-22 15:33:03, 710,   8.60,  13.90
2019-10-22 15:33:05, 712,   8.50,  13.70
2019-10-22 15:33:07, 715,   8.50,  13.70
2019-10-22 15:33:09, 717,   8.70,  14.00
2019-10-22 15:33:11, 719,   8.50,  13.80
2019-10-22 15:33:13, 721,   8.50,  13.70
2019-10-22 15:33:15, 723,   8.40,  13.30
2019-10-22 15:33:18, 725,   8.60,  13.10
2019-10-22 15:33:20, 727,   8.60,  13.00
2019-10-22 15:33:22, 729,   8.60,  12.40
2019-10-22 15:33:24, 731,   8.40,  12.20
2019-10-22 15:33:26, 733,   8.50,  10.40
2019-10-22 15:33:28, 736,   8.50,  10.40
2019-10-22 15:33:30, 738,   8.30,   9.60
2019-10-22 15:33:32, 740,   8.50,   9.50
2019-10-22 15:33:34, 742,   8.50,   9.50
2019-10-22 15:33:36, 744,   8.60,   9.70
2019-10-22 15:33:39, 746,   8.70,   9.90
2019-10-22 15:33:41, 748,   8.70,  10.00
2019-10-22 15:33:43, 750,   8.80,   9.80
2019-10-22 15:33:45, 752,   8.90,  10.00
2019-10-22 15:33:47, 755,   8.70,   9.80
2019-10-22 15:33:49, 757,   8.60,   9.70
2019-10-22 15:33:51, 759,   8.60,   9.80
2019-10-22 15:33:53, 761,   8.60,  10.10
2019-10-22 15:33:55, 763,   8.80,  10.80
2019-10-22 15:33:58, 765,   8.80,  11.60
2019-10-22 15:34:00, 767,   9.10,  12.00
2019-10-22 15:34:02, 769,   9.20,  12.10
2019-10-22 15:34:04, 771,   9.10,  11.90
2019-10-22 15:34:06, 773,   9.10,  11.80
2019-10-22 15:34:08, 776,   9.00,  11.80
2019-10-22 15:34:10, 778,   9.00,  11.90
2019-10-22 15:34:12, 780,   9.00,  11.90
2019-10-22 15:34:14, 782,   8.90,  12.70
2019-10-22 15:34:16, 784,   8.90,  12.80
2019-10-22 15:34:19, 786,   8.90,  13.50
2019-10-22 15:34:21, 788,   9.10,  14.00
2019-10-22 15:34:23, 790,   9.00,  13.70
2019-10-22 15:34:25, 792,   8.90,  13.20
2019-10-22 15:34:27, 794,   8.90,  12.00
2019-10-22 15:34:29, 797,   8.70,  11.70
2019-10-22 15:34:31, 799,   8.70,  11.40
2019-10-22 15:34:33, 801,   8.80,  11.30
2019-10-22 15:34:35, 803,   8.80,  11.30
2019-10-22 15:34:37, 805,   8.80,  11.10
2019-10-22 15:34:40, 807,   8.80,  10.60
2019-10-22 15:34:42, 809,   8.70,  11.00
2019-10-22 15:34:44, 811,   8.60,  10.60
2019-10-22 15:34:46, 813,   8.70,  10.70
2019-10-22 15:34:48, 815,   8.70,  10.20
2019-10-22 15:34:50, 818,   8.50,   9.80
2019-10-22 15:34:52, 820,   8.60,   9.60
2019-10-22 15:34:54, 822,   8.70,  10.70
2019-10-22 15:34:56, 824,   8.70,  11.10
2019-10-22 15:34:58, 826,   8.90,  11.80
2019-10-22 15:35:01, 828,   8.80,  11.80
2019-10-22 15:35:03, 830,   8.70,  12.00
2019-10-22 15:35:05, 832,   8.80,  12.30
2019-10-22 15:35:07, 834,   9.10,  12.60
2019-10-22 15:35:09, 836,   9.10,  12.70
2019-10-22 15:35:11, 839,   9.10,  12.40
2019-10-22 15:35:13, 841,   9.10,  11.90
2019-10-22 15:35:15, 843,   9.20,  11.90
2019-10-22 15:35:17, 845,   9.10,  11.80
2019-10-22 15:35:19, 847,   9.10,  11.50
2019-10-22 15:35:22, 849,   9.00,  11.30
2019-10-22 15:35:24, 851,   8.80,  11.40
2019-10-22 15:35:26, 853,   8.80,  10.10
2019-10-22 15:35:28, 855,   8.60,   9.60
2019-10-22 15:35:30, 857,   8.70,  10.70
2019-10-22 15:35:32, 860,   8.80,  10.50
2019-10-22 15:35:34, 862,   8.70,  11.00
2019-10-22 15:35:36, 864,   8.60,  10.80
2019-10-22 15:35:38, 866,   8.60,  10.80
2019-10-22 15:35:41, 868,   8.50,  10.70
2019-10-22 15:35:43, 870,   8.70,  11.40
2019-10-22 15:35:45, 872,   8.70,  11.40
2019-10-22 15:35:47, 874,   8.50,  11.40
2019-10-22 15:35:49, 876,   8.60,  11.50
2019-10-22 15:35:51, 879,   8.60,  12.10
2019-10-22 15:35:53, 881,   8.80,  12.00
2019-10-22 15:35:55, 883,   9.00,  12.80
2019-10-22 15:35:57, 885,   8.90,  12.70
2019-10-22 15:35:59, 887,   8.80,  12.70
2019-10-22 15:36:02, 889,   8.70,  11.80
2019-10-22 15:36:04, 891,   8.80,  11.50
2019-10-22 15:36:06, 893,   8.80,  12.00
2019-10-22 15:36:08, 895,   8.70,  12.20
2019-10-22 15:36:10, 897,   8.80,  12.30
2019-10-22 15:36:12, 900,   8.70,  11.60
2019-10-22 15:36:14, 902,   8.80,  11.70
2019-10-22 15:36:16, 904,   8.80,  11.70
2019-10-22 15:36:18, 906,   8.80,  11.80
2019-10-22 15:36:20, 908,   8.80,  11.20
2019-10-22 15:36:23, 910,   8.80,  11.10
2019-10-22 15:36:25, 912,   8.60,  10.40
2019-10-22 15:36:27, 914,   8.50,  10.20
2019-10-22 15:36:29, 916,   8.60,  11.30
2019-10-22 15:36:31, 918,   8.70,  11.50
2019-10-22 15:36:33, 921,   8.70,  10.90
2019-10-22 15:36:35, 923,   8.60,  10.80
2019-10-22 15:36:37, 925,   8.70,  11.60
2019-10-22 15:36:39, 927,   8.70,  11.70
2019-10-22 15:36:41, 929,   8.70,  11.60
2019-10-22 15:36:44, 931,   8.50,  11.80
2019-10-22 15:36:46, 933,   8.60,  11.80
2019-10-22 15:36:48, 935,   8.60,  11.70
2019-10-22 15:36:50, 937,   8.70,  11.60
2019-10-22 15:36:52, 939,   8.80,  12.10
2019-10-22 15:36:54, 942,   8.90,  12.20
2019-10-22 15:36:56, 944,   8.80,  12.30
2019-10-22 15:36:58, 946,   8.80,  11.20
2019-10-22 15:37:00, 948,   8.80,  10.80
2019-10-22 15:37:02, 950,   8.90,  11.90
2019-10-22 15:37:05, 952,   8.90,  11.60
2019-10-22 15:37:07, 954,   8.90,  10.50
2019-10-22 15:37:09, 956,   9.00,  10.50
2019-10-22 15:37:11, 958,   9.00,  10.50
2019-10-22 15:37:13, 960,   9.00,  10.30
2019-10-22 15:37:15, 963,   9.00,  10.50
2019-10-22 15:37:17, 965,   9.00,  10.80
2019-10-22 15:37:19, 967,   9.00,  10.90
2019-10-22 15:37:21, 969,   8.90,  10.60
2019-10-22 15:37:23, 971,   9.00,  12.00
2019-10-22 15:37:26, 973,   9.10,  12.00
2019-10-22 15:37:28, 975,   9.00,  12.00
2019-10-22 15:37:30, 977,   8.90,  11.90
2019-10-22 15:37:32, 979,   9.10,  11.70
2019-10-22 15:37:34, 981,   9.00,  11.90
2019-10-22 15:37:36, 984,   9.10,  12.40
2019-10-22 15:37:38, 986,   8.90,  12.50
2019-10-22 15:37:40, 988,   9.00,  12.90
2019-10-22 15:37:42, 990,   9.00,  12.80
2019-10-22 15:37:44, 992,   9.10,  13.00
2019-10-22 15:37:47, 994,   9.10,  13.10
2019-10-22 15:37:49, 996,   9.10,  13.10
2019-10-22 15:37:51, 998,   9.00,  12.70
2019-10-22 15:37:53, 1000,   9.10,  12.00
2019-10-22 15:37:55, 1003,   8.80,  11.10
2019-10-22 15:37:57, 1005,   9.00,  12.00
2019-10-22 15:37:59, 1007,   9.20,  12.60
2019-10-22 15:38:01, 1009,   9.10,  12.20
2019-10-22 15:38:03, 1011,   9.00,  12.20
2019-10-22 15:38:06, 1013,   9.00,  11.60
2019-10-22 15:38:08, 1015,   8.90,  11.50
2019-10-22 15:38:10, 1017,   8.80,  11.00
2019-10-22 15:38:12, 1019,   8.80,  10.70
2019-10-22 15:38:14, 1021,   8.70,  10.60
2019-10-22 15:38:16, 1024,   8.60,  10.30
2019-10-22 15:38:18, 1026,   8.80,  10.30
2019-10-22 15:38:20, 1028,   8.70,  10.60
2019-10-22 15:38:22, 1030,   8.60,  10.60
